InstanceType,SpotPrice,AvailabilityZone,DATE,AVG_SP
m4.xlarge,0.0418,us-west-2a,2016-02-03,0.054258
m4.xlarge,0.0749,us-west-2a,2016-02-04,0.056475
m4.xlarge,0.0697,us-west-2a,2016-02-05,0.067235
m4.xlarge,0.0427,us-west-2a,2016-02-06,0.042247
m4.xlarge,0.0449,us-west-2a,2016-02-07,0.049849
m4.xlarge,0.05,us-west-2a,2016-02-08,0.054652
m4.xlarge,0.0627,us-west-2a,2016-02-09,0.041845
m4.xlarge,0.0365,us-west-2a,2016-02-10,0.034804
m4.xlarge,0.037,us-west-2a,2016-02-11,0.036462
m4.xlarge,0.04,us-west-2a,2016-02-12,0.037432
m4.xlarge,0.0301,us-west-2a,2016-02-13,0.032978
m4.xlarge,0.0309,us-west-2a,2016-02-14,0.03242
m4.xlarge,0.0312,us-west-2a,2016-02-15,0.033172
m4.xlarge,0.034,us-west-2a,2016-02-16,0.035637
m4.xlarge,0.0374,us-west-2a,2016-02-17,0.036533
m4.xlarge,0.034,us-west-2a,2016-02-18,0.038352
m4.xlarge,0.0378,us-west-2a,2016-02-19,0.036735
m4.xlarge,0.0375,us-west-2a,2016-02-20,0.028299
m4.xlarge,0.0275,us-west-2a,2016-02-21,0.027806
m4.xlarge,0.0278,us-west-2a,2016-02-22,0.028157
m4.xlarge,0.0285,us-west-2a,2016-02-23,0.028562
m4.xlarge,0.0289,us-west-2a,2016-02-24,0.029139
m4.xlarge,0.0288,us-west-2a,2016-02-25,0.029083
m4.xlarge,0.029,us-west-2a,2016-02-26,0.029047
m4.xlarge,0.0289,us-west-2a,2016-02-27,0.028926
m4.xlarge,0.0284,us-west-2a,2016-02-28,0.028595
m4.xlarge,0.0283,us-west-2a,2016-02-29,0.028999
