InstanceType,SpotPrice,AvailabilityZone,DATE,HOUR,AVG_SP
m4.10xlarge,0.4032,us-west-2c,2016-01-12,11,0.404057
m4.10xlarge,0.4051,us-west-2c,2016-01-12,12,0.403555
m4.10xlarge,0.4032,us-west-2c,2016-01-12,13,0.4032
m4.10xlarge,0.4032,us-west-2c,2016-01-12,14,0.4032
m4.10xlarge,0.4032,us-west-2c,2016-01-12,15,0.4032
m4.10xlarge,0.4032,us-west-2c,2016-01-12,16,0.401666
m4.10xlarge,0.3953,us-west-2c,2016-01-12,17,0.400358
m4.10xlarge,0.4013,us-west-2c,2016-01-12,18,0.401419
m4.10xlarge,0.3953,us-west-2c,2016-01-12,19,0.394556
m4.10xlarge,0.3971,us-west-2c,2016-01-12,20,0.396506
m4.10xlarge,0.3953,us-west-2c,2016-01-12,21,0.401819
m4.10xlarge,0.4032,us-west-2c,2016-01-12,22,0.40444
m4.10xlarge,0.4032,us-west-2c,2016-01-12,23,0.409672
m4.10xlarge,0.4093,us-west-2c,2016-01-13,0,0.434308
m4.10xlarge,0.4051,us-west-2c,2016-01-13,1,0.4051
m4.10xlarge,0.4051,us-west-2c,2016-01-13,2,0.400185
m4.10xlarge,0.4051,us-west-2c,2016-01-13,3,0.404833
m4.10xlarge,0.4051,us-west-2c,2016-01-13,4,0.400666
m4.10xlarge,0.399,us-west-2c,2016-01-13,5,0.391271
m4.10xlarge,0.3852,us-west-2c,2016-01-13,6,0.386542
m4.10xlarge,0.3852,us-west-2c,2016-01-13,7,0.38166
m4.10xlarge,0.3809,us-west-2c,2016-01-13,8,0.380439
m4.10xlarge,0.3826,us-west-2c,2016-01-13,9,0.379053
m4.10xlarge,0.3735,us-west-2c,2016-01-13,10,0.374718
m4.10xlarge,0.3735,us-west-2c,2016-01-13,11,0.360959
m4.10xlarge,0.3498,us-west-2c,2016-01-13,12,0.350474
m4.10xlarge,0.35,us-west-2c,2016-01-13,13,0.349991
m4.10xlarge,0.35,us-west-2c,2016-01-13,14,0.349991
m4.10xlarge,0.35,us-west-2c,2016-01-13,15,0.349859
m4.10xlarge,0.35,us-west-2c,2016-01-13,16,0.349986
m4.10xlarge,0.35,us-west-2c,2016-01-13,17,0.349974
m4.10xlarge,0.35,us-west-2c,2016-01-13,18,0.349991
m4.10xlarge,0.35,us-west-2c,2016-01-13,19,0.349979
m4.10xlarge,0.35,us-west-2c,2016-01-13,20,0.35
m4.10xlarge,0.35,us-west-2c,2016-01-13,21,0.35
m4.10xlarge,0.35,us-west-2c,2016-01-13,22,0.349945
m4.10xlarge,0.35,us-west-2c,2016-01-13,23,0.35
m4.10xlarge,0.35,us-west-2c,2016-01-14,0,0.349972
m4.10xlarge,0.35,us-west-2c,2016-01-14,1,0.349995
m4.10xlarge,0.35,us-west-2c,2016-01-14,2,0.349775
m4.10xlarge,0.35,us-west-2c,2016-01-14,3,0.349447
m4.10xlarge,0.3475,us-west-2c,2016-01-14,4,0.349882
m4.10xlarge,0.35,us-west-2c,2016-01-14,5,0.35
m4.10xlarge,0.35,us-west-2c,2016-01-14,6,0.35
m4.10xlarge,0.35,us-west-2c,2016-01-14,7,0.35
m4.10xlarge,0.35,us-west-2c,2016-01-14,8,0.349767
m4.10xlarge,0.35,us-west-2c,2016-01-14,9,0.35
m4.10xlarge,0.35,us-west-2c,2016-01-14,10,0.349937
m4.10xlarge,0.35,us-west-2c,2016-01-14,11,0.35
m4.10xlarge,0.35,us-west-2c,2016-01-14,12,0.35
m4.10xlarge,0.35,us-west-2c,2016-01-14,13,0.35
m4.10xlarge,0.35,us-west-2c,2016-01-14,14,0.35
m4.10xlarge,0.35,us-west-2c,2016-01-14,15,0.349565
m4.10xlarge,0.35,us-west-2c,2016-01-14,16,0.349352
m4.10xlarge,0.3498,us-west-2c,2016-01-14,17,0.349911
m4.10xlarge,0.35,us-west-2c,2016-01-14,18,0.349287
m4.10xlarge,0.3498,us-west-2c,2016-01-14,19,0.34998
m4.10xlarge,0.35,us-west-2c,2016-01-14,20,0.347672
m4.10xlarge,0.35,us-west-2c,2016-01-14,21,0.349936
m4.10xlarge,0.35,us-west-2c,2016-01-14,22,0.41667
m4.10xlarge,0.4114,us-west-2c,2016-01-14,23,0.409655
m4.10xlarge,0.4093,us-west-2c,2016-01-15,0,0.411395
m4.10xlarge,0.4156,us-west-2c,2016-01-15,1,0.430323
m4.10xlarge,0.4414,us-west-2c,2016-01-15,2,0.432197
m4.10xlarge,0.4241,us-west-2c,2016-01-15,3,0.424379
m4.10xlarge,0.4241,us-west-2c,2016-01-15,4,0.4241
m4.10xlarge,0.4241,us-west-2c,2016-01-15,5,0.421885
m4.10xlarge,0.4199,us-west-2c,2016-01-15,6,0.417743
m4.10xlarge,0.4177,us-west-2c,2016-01-15,7,0.418062
m4.10xlarge,0.4177,us-west-2c,2016-01-15,8,0.41832
m4.10xlarge,0.4177,us-west-2c,2016-01-15,9,0.4177
m4.10xlarge,0.4177,us-west-2c,2016-01-15,10,0.4177
m4.10xlarge,0.4177,us-west-2c,2016-01-15,11,0.418573
m4.10xlarge,0.4199,us-west-2c,2016-01-15,12,0.407953
m4.10xlarge,0.3966,us-west-2c,2016-01-15,13,0.3966
m4.10xlarge,0.3966,us-west-2c,2016-01-15,14,0.396825
m4.10xlarge,0.3966,us-west-2c,2016-01-15,15,0.396053
m4.10xlarge,0.3947,us-west-2c,2016-01-15,16,0.3947
m4.10xlarge,0.3947,us-west-2c,2016-01-15,17,0.382516
m4.10xlarge,0.35,us-west-2c,2016-01-15,18,0.355813
m4.10xlarge,0.399,us-west-2c,2016-01-15,19,0.40489
m4.10xlarge,0.4114,us-west-2c,2016-01-15,20,0.407059
m4.10xlarge,0.4051,us-west-2c,2016-01-15,21,0.36125
m4.10xlarge,0.35,us-west-2c,2016-01-15,22,0.349448
m4.10xlarge,0.35,us-west-2c,2016-01-15,23,0.35
m4.10xlarge,0.35,us-west-2c,2016-01-16,0,0.35
m4.10xlarge,0.35,us-west-2c,2016-01-16,1,0.352495
m4.10xlarge,0.3548,us-west-2c,2016-01-16,2,0.355292
m4.10xlarge,0.35,us-west-2c,2016-01-16,3,0.349595
m4.10xlarge,0.3491,us-west-2c,2016-01-16,4,0.349852
m4.10xlarge,0.35,us-west-2c,2016-01-16,5,0.349952
m4.10xlarge,0.35,us-west-2c,2016-01-16,6,0.349937
m4.10xlarge,0.35,us-west-2c,2016-01-16,7,0.349919
m4.10xlarge,0.3491,us-west-2c,2016-01-16,8,0.349849
m4.10xlarge,0.35,us-west-2c,2016-01-16,9,0.349854
m4.10xlarge,0.35,us-west-2c,2016-01-16,10,0.349895
m4.10xlarge,0.35,us-west-2c,2016-01-16,11,0.349803
m4.10xlarge,0.35,us-west-2c,2016-01-16,12,0.349854
m4.10xlarge,0.35,us-west-2c,2016-01-16,13,0.349916
m4.10xlarge,0.35,us-west-2c,2016-01-16,14,0.349979
m4.10xlarge,0.35,us-west-2c,2016-01-16,15,0.349958
m4.10xlarge,0.35,us-west-2c,2016-01-16,16,0.35
m4.10xlarge,0.35,us-west-2c,2016-01-16,17,0.35
m4.10xlarge,0.35,us-west-2c,2016-01-16,18,0.349815
m4.10xlarge,0.3491,us-west-2c,2016-01-16,19,0.349873
m4.10xlarge,0.35,us-west-2c,2016-01-16,20,0.349931
m4.10xlarge,0.35,us-west-2c,2016-01-16,21,0.349896
