InstanceType,SpotPrice,AvailabilityZone,DATE,AVG_SP
m4.large,0.0277,us-west-2c,2016-02-07,0.027221
m4.large,0.0269,us-west-2c,2016-02-08,0.025827
m4.large,0.0295,us-west-2c,2016-02-09,0.028551
m4.large,0.037,us-west-2c,2016-02-10,0.03089
m4.large,0.038,us-west-2c,2016-02-11,0.034481
m4.large,0.036,us-west-2c,2016-02-12,0.033307
m4.large,0.0384,us-west-2c,2016-02-13,0.030903
m4.large,0.0307,us-west-2c,2016-02-14,0.033244
m4.large,0.0356,us-west-2c,2016-02-15,0.036865
m4.large,0.0435,us-west-2c,2016-02-16,0.041889
m4.large,0.0369,us-west-2c,2016-02-17,0.036973
m4.large,0.0383,us-west-2c,2016-02-18,0.041346
m4.large,0.04,us-west-2c,2016-02-19,0.031513
m4.large,0.0185,us-west-2c,2016-02-20,0.018356
m4.large,0.0182,us-west-2c,2016-02-21,0.018425
m4.large,0.0182,us-west-2c,2016-02-22,0.018632
m4.large,0.0199,us-west-2c,2016-02-23,0.021084
m4.large,0.034,us-west-2c,2016-02-24,0.022323
m4.large,0.0273,us-west-2c,2016-02-25,0.021627
m4.large,0.0231,us-west-2c,2016-02-26,0.024347
m4.large,0.0487,us-west-2c,2016-02-27,0.023481
m4.large,0.0206,us-west-2c,2016-02-28,0.020411
m4.large,0.0212,us-west-2c,2016-02-29,0.024742
m4.xlarge,0.0288,us-west-2c,2016-01-01,0.028999
m4.xlarge,0.0287,us-west-2c,2016-01-02,0.028738
m4.xlarge,0.0284,us-west-2c,2016-01-03,0.028636
m4.xlarge,0.0284,us-west-2c,2016-01-04,0.028667
m4.xlarge,0.0287,us-west-2c,2016-01-05,0.028689
m4.xlarge,0.0288,us-west-2c,2016-01-06,0.028804
m4.xlarge,0.0286,us-west-2c,2016-01-07,0.029415
m4.xlarge,0.0289,us-west-2c,2016-01-08,0.029241
m4.xlarge,0.0288,us-west-2c,2016-01-09,0.0291
m4.xlarge,0.0288,us-west-2c,2016-01-10,0.02915
m4.xlarge,0.0292,us-west-2c,2016-01-11,0.029776
m4.xlarge,0.0306,us-west-2c,2016-01-12,0.030221
m4.xlarge,0.031,us-west-2c,2016-01-13,0.03087
m4.xlarge,0.031,us-west-2c,2016-01-14,0.031002
m4.xlarge,0.0309,us-west-2c,2016-01-15,0.030686
m4.xlarge,0.0318,us-west-2c,2016-01-16,0.030783
m4.xlarge,0.0307,us-west-2c,2016-01-17,0.030666
m4.xlarge,0.0301,us-west-2c,2016-01-18,0.031119
m4.xlarge,0.031,us-west-2c,2016-01-19,0.031458
m4.xlarge,0.0312,us-west-2c,2016-01-20,0.031461
m4.xlarge,0.0313,us-west-2c,2016-01-21,0.031618
m4.xlarge,0.0313,us-west-2c,2016-01-22,0.032173
m4.xlarge,0.0333,us-west-2c,2016-01-23,0.03235
m4.xlarge,0.0334,us-west-2c,2016-01-24,0.033125
m4.xlarge,0.0325,us-west-2c,2016-01-25,0.03547
m4.xlarge,0.0416,us-west-2c,2016-01-26,0.05153
m4.xlarge,0.0562,us-west-2c,2016-01-27,0.058537
m4.xlarge,0.0531,us-west-2c,2016-01-28,0.062253
m4.xlarge,0.045,us-west-2c,2016-01-29,0.055708
m4.xlarge,0.0512,us-west-2c,2016-01-30,0.041439
m4.xlarge,0.0377,us-west-2c,2016-01-31,0.046588
m4.xlarge,0.0331,us-west-2c,2016-02-01,0.037073
m4.xlarge,0.0506,us-west-2c,2016-02-02,0.059312
m4.xlarge,0.063,us-west-2c,2016-02-03,0.059465
m4.xlarge,0.0516,us-west-2c,2016-02-04,0.053857
m4.xlarge,0.063,us-west-2c,2016-02-05,0.057902
m4.xlarge,0.1,us-west-2c,2016-02-06,0.054916
